post_id,slug,image_file,image_alt
4063,fiat-500,fiat-500.webp,"Fiat 500 a noleggio a Venezia e Treviso"
4018,ford-fiesta,ford-fiesta.webp,"Ford Fiesta a noleggio a Venezia e Treviso"
4089,volkswagen-polo,volkswagen-polo.webp,"Volkswagen Polo a noleggio a Venezia e Treviso"
4697,fiat-panda,fiat-panda.webp,"Fiat Panda a noleggio a Venezia e Treviso"
2967,fiat-tipo-hatchback,fiat-tipo-hatchback.webp,"Fiat Tipo Hatchback a noleggio a Venezia e Treviso"
4024,citroen-c3,citroen-c3.webp,"Citroën C3 a noleggio a Venezia e Treviso"
4043,opel-corsa,opel-corsa.webp,"Opel Corsa a noleggio a Venezia e Treviso"
4689,toyota-yaris-hybrid,toyota-yaris-hybrid.webp,"Toyota Yaris Hybrid a noleggio a Venezia e Treviso"
4120,opel-grandland,opel-grandland.webp,"Opel Grandland a noleggio a Venezia e Treviso"
4434,peugeot-3008,peugeot-3008.webp,"Peugeot 3008 a noleggio a Venezia e Treviso"
2874,suzuki-baleno,suzuki-baleno.webp,"Suzuki Baleno a noleggio a Venezia e Treviso"
4437,suzuki-vitara,suzuki-vitara.webp,"Suzuki Vitara a noleggio a Venezia e Treviso"
4431,toyota-corolla-hybrid,toyota-corolla-hybrid.webp,"Toyota Corolla Hybrid a noleggio a Venezia e Treviso"
4062,dacia-duster,dacia-duster.webp,"Dacia Duster a noleggio a Venezia e Treviso"
4544,fiat-500x,fiat-500x.webp,"Fiat 500X a noleggio a Venezia e Treviso"
4029,fiat-tipo-1-6,fiat-tipo-1-6.webp,"Fiat Tipo 1.6 a noleggio a Venezia e Treviso"
2942,skoda-octavia-1-0-etec,skoda-octavia-1-0-etec.webp,"Škoda Octavia 1.0 e-TEC a noleggio a Venezia e Treviso"
4705,ford-puma,ford-puma.webp,"Ford Puma a noleggio a Venezia e Treviso"
4101,renault-captur,renault-captur.webp,"Renault Captur a noleggio a Venezia e Treviso"
4991,seat-arona,seat-arona.webp,"SEAT Arona a noleggio a Venezia e Treviso"
4663,skoda-kamiq,skoda-kamiq.webp,"Škoda Kamiq a noleggio a Venezia e Treviso"
2982,toyota-c-hr-hybrid,toyota-c-hr-hybrid.webp,"Toyota C-HR Hybrid a noleggio a Venezia e Treviso"
4961,volkswagen-taigo,volkswagen-taigo.webp,"Volkswagen Taigo a noleggio a Venezia e Treviso"
4096,alfa-romeo-tonale,alfa-romeo-tonale.webp,"Alfa Romeo Tonale a noleggio a Venezia e Treviso"
4169,land-rover-discovery-4x4,land-rover-discovery-4x4.webp,"Land Rover Discovery 4x4 a noleggio a Venezia e Treviso"
4965,nissan-qashqai,nissan-qashqai.webp,"Nissan Qashqai a noleggio a Venezia e Treviso"
4192,toyota-corolla-sw-hybrid,toyota-corolla-sw-hybrid.webp,"Toyota Corolla SW Hybrid a noleggio a Venezia e Treviso"
4755,renault-kadjar,renault-kadjar.webp,"Renault Kadjar a noleggio a Venezia e Treviso"
4756,ford-mondeo,ford-mondeo.webp,"Ford Mondeo a noleggio a Venezia e Treviso"
4353,jeep-renegade,jeep-renegade.webp,"Jeep Renegade a noleggio a Venezia e Treviso"
2980,renault-megane-sw-1-3,renault-megane-sw-1-3.webp,"Renault Mégane SW 1.3 a noleggio a Venezia e Treviso"
4038,renault-megane-sw-1-5,renault-megane-sw-1-5.webp,"Renault Mégane SW 1.5 a noleggio a Venezia e Treviso"
4048,ford-grand-c-max,ford-grand-c-max.webp,"Ford Grand C-Max a noleggio a Venezia e Treviso"
4655,tesla-model-3,tesla-model-3.webp,"Tesla Model 3 a noleggio a Venezia e Treviso"
4671,bmw-serie-4-xdrive,bmw-serie-4-xdrive.webp,"BMW Serie 4 xDrive a noleggio a Venezia e Treviso"
4635,mercedes-benz-vito,mercedes-benz-vito.webp,"Mercedes-Benz Vito a noleggio a Venezia e Treviso"
4742,maserati-ghibli,maserati-ghibli.webp,"Maserati Ghibli a noleggio a Venezia e Treviso"
4177,mercedes-benz-classe-v,mercedes-benz-classe-v.webp,"Mercedes-Benz Classe V a noleggio a Venezia e Treviso"
2887,mercedes-benz-vito-2-2,mercedes-benz-vito-2-2.webp,"Mercedes-Benz Vito 2.2 a noleggio a Venezia e Treviso"
